house_or_senate,sector_name,bill_id
S,Foreign Relations,S. 447
S,Foreign Relations,S. 418
S,Foreign Relations,S. 198
S,Foreign Relations,S. 210
S,Foreign Relations,S. 94
S,Foreign Relations,S. 107
S,Foreign Relations,S. 11
S,Foreign Relations,S.Res. 15
S,Foreign Relations,S. 474
S,Foreign Relations,S. 409
S,Foreign Relations,S. 420
S,Foreign Relations,S. 430
S,Foreign Relations,S. 371
S,Foreign Relations,S. 332
S,Foreign Relations,S. 169
S,Foreign Relations,S. 449
S,Foreign Relations,S. 68
S,Foreign Relations,S. 417
S,Foreign Relations,S. 377
S,Foreign Relations,S. 358
S,Foreign Relations,S.Res. 61
S,Foreign Relations,S. 341
S,Foreign Relations,S.Res. 50
S,Foreign Relations,S. 67
S,Foreign Relations,S.Res. 18
S,Foreign Relations,S. 200
S,Foreign Relations,S.J.Res. 31
S,Foreign Relations,S.Res. 37
S,"Health, Education, Labor, and Pensions",H.R. 304
S,"Health, Education, Labor, and Pensions",H.R. 315
S,"Health, Education, Labor, and Pensions",H.R. 309
S,"Health, Education, Labor, and Pensions",H.R. 302
S,"Health, Education, Labor, and Pensions",H.R. 244
S,"Health, Education, Labor, and Pensions",S.Res. 47
S,"Health, Education, Labor, and Pensions",S. 292
S,"Health, Education, Labor, and Pensions",S. 443
S,"Health, Education, Labor, and Pensions",S. 438
S,"Health, Education, Labor, and Pensions",S.Res. 11
S,"Health, Education, Labor, and Pensions",S. 456
S,"Health, Education, Labor, and Pensions",S. 382
S,"Health, Education, Labor, and Pensions",S. 241
S,"Health, Education, Labor, and Pensions",S. 92
S,"Health, Education, Labor, and Pensions",S. 489
S,"Health, Education, Labor, and Pensions",S. 527
S,"Health, Education, Labor, and Pensions",S. 404
S,"Health, Education, Labor, and Pensions",S. 351
S,"Health, Education, Labor, and Pensions",S. 495
S,"Health, Education, Labor, and Pensions",S. 475
S,"Health, Education, Labor, and Pensions",S. 469
S,"Health, Education, Labor, and Pensions",S. 457
S,"Health, Education, Labor, and Pensions",S. 261
S,"Health, Education, Labor, and Pensions",S. 204
S,"Health, Education, Labor, and Pensions",S. 194
S,"Health, Education, Labor, and Pensions",S. 183
S,"Health, Education, Labor, and Pensions",S. 196
S,"Health, Education, Labor, and Pensions",S. 206
S,"Health, Education, Labor, and Pensions",S. 294
S,"Health, Education, Labor, and Pensions",S. 313
S,"Health, Education, Labor, and Pensions",S. 130
S,"Health, Education, Labor, and Pensions",S. 345
S,"Health, Education, Labor, and Pensions",S. 297
S,"Health, Education, Labor, and Pensions",S. 244
S,"Health, Education, Labor, and Pensions",S. 185
S,"Health, Education, Labor, and Pensions",S. 477
S,"Health, Education, Labor, and Pensions",S. 147
S,"Health, Education, Labor, and Pensions",S. 149
S,"Health, Education, Labor, and Pensions",S. 155
S,"Health, Education, Labor, and Pensions",S. 435
S,"Health, Education, Labor, and Pensions",S. 64
S,"Health, Education, Labor, and Pensions",S. 44
S,"Health, Education, Labor, and Pensions",S. 311
S,"Health, Education, Labor, and Pensions",S. 256
S,"Health, Education, Labor, and Pensions",S. 301
S,"Health, Education, Labor, and Pensions",S. 221
S,"Health, Education, Labor, and Pensions",S. 246
S,"Health, Education, Labor, and Pensions",S. 235
S,"Health, Education, Labor, and Pensions",S.Res. 49
S,"Health, Education, Labor, and Pensions",S.J.Res. 26
S,"Health, Education, Labor, and Pensions",S.J.Res. 27
S,"Health, Education, Labor, and Pensions",S.J.Res. 25
S,"Health, Education, Labor, and Pensions",S.Res. 63
S,"Health, Education, Labor, and Pensions",S.J.Res. 13
S,"Health, Education, Labor, and Pensions",S.Res. 39
S,Homeland Security and Governmental Affairs,H.R. 26
S,Homeland Security and Governmental Affairs,H.R. 526
S,Homeland Security and Governmental Affairs,H.R. 72
S,Homeland Security and Governmental Affairs,H.R. 21
S,Homeland Security and Governmental Affairs,H.R. 347
S,Homeland Security and Governmental Affairs,H.R. 687
S,Homeland Security and Governmental Affairs,H.R. 274
S,Homeland Security and Governmental Affairs,H.R. 58
S,Homeland Security and Governmental Affairs,H.R. 612
S,Homeland Security and Governmental Affairs,H.R. 690
S,Homeland Security and Governmental Affairs,H.R. 697
S,Homeland Security and Governmental Affairs,H.R. 70
S,Homeland Security and Governmental Affairs,S. 317
S,Homeland Security and Governmental Affairs,S. 188
S,Homeland Security and Governmental Affairs,S. 17
S,Homeland Security and Governmental Affairs,H.R. 1004
S,Homeland Security and Governmental Affairs,H.R. 366
S,Homeland Security and Governmental Affairs,H.R. 505
S,Homeland Security and Governmental Affairs,H.R. 584
S,Homeland Security and Governmental Affairs,H.R. 549
S,Homeland Security and Governmental Affairs,H.R. 678
S,Homeland Security and Governmental Affairs,H.R. 5
S,Homeland Security and Governmental Affairs,H.R. 240
S,Homeland Security and Governmental Affairs,H.R. 69
S,Homeland Security and Governmental Affairs,H.R. 71
S,Homeland Security and Governmental Affairs,H.R. 998
S,Homeland Security and Governmental Affairs,H.R. 1009
S,Homeland Security and Governmental Affairs,H.R. 655
S,Homeland Security and Governmental Affairs,H.R. 437
S,Homeland Security and Governmental Affairs,H.R. 642
S,Homeland Security and Governmental Affairs,H.R. 666
S,Homeland Security and Governmental Affairs,H.R. 677
S,Homeland Security and Governmental Affairs,H.R. 239
S,Homeland Security and Governmental Affairs,H.R. 73
S,Homeland Security and Governmental Affairs,S. 218
S,Homeland Security and Governmental Affairs,S. 146
S,Homeland Security and Governmental Affairs,S.Res. 51
S,Homeland Security and Governmental Affairs,S. 461
S,Homeland Security and Governmental Affairs,S. 21
S,Homeland Security and Governmental Affairs,S.Con.Res. 8
S,Homeland Security and Governmental Affairs,S. 500
S,Homeland Security and Governmental Affairs,S. 506
S,Homeland Security and Governmental Affairs,S. 480
S,Homeland Security and Governmental Affairs,S. 459
S,Homeland Security and Governmental Affairs,S. 278
S,Homeland Security and Governmental Affairs,S. 271
S,Homeland Security and Governmental Affairs,S. 173
S,Homeland Security and Governmental Affairs,S. 120
S,Homeland Security and Governmental Affairs,S. 525
S,Homeland Security and Governmental Affairs,S. 516
S,Homeland Security and Governmental Affairs,S. 504
S,Homeland Security and Governmental Affairs,S. 424
S,Homeland Security and Governmental Affairs,S. 181
S,Homeland Security and Governmental Affairs,S. 29
S,Homeland Security and Governmental Affairs,S. 126
S,Homeland Security and Governmental Affairs,S. 78
S,Homeland Security and Governmental Affairs,S. 14
S,Homeland Security and Governmental Affairs,S. 163
S,Homeland Security and Governmental Affairs,S. 288
S,Homeland Security and Governmental Affairs,S. 56
S,Homeland Security and Governmental Affairs,S. 162
S,Homeland Security and Governmental Affairs,S. 98
S,Homeland Security and Governmental Affairs,S. 69
S,Homeland Security and Governmental Affairs,S. 412
S,Homeland Security and Governmental Affairs,S. 362
S,Homeland Security and Governmental Affairs,S. 364
S,Homeland Security and Governmental Affairs,S. 342
S,Homeland Security and Governmental Affairs,S. 255
S,Homeland Security and Governmental Affairs,S. 34
S,Homeland Security and Governmental Affairs,S. 65
S,Homeland Security and Governmental Affairs,S. 265
S,Homeland Security and Governmental Affairs,S. 299
S,Homeland Security and Governmental Affairs,S.J.Res. 12
S,Homeland Security and Governmental Affairs,S.Res. 34
